timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,delta_terrain,eph,epv,terrain_alt,lat_lon_valid,alt_valid,lat_lon_reset_counter,alt_reset_counter,terrain_reset_counter,terrain_alt_valid,dead_reckoning
191611709,191611385,31.185624313386725,117.19754670672165,54.340862,52.145782,53.993015,53.993015,0.16655025,0.1619274,54.33351,1,1,14,2,2,0,0
192110466,192110143,31.18562458533702,117.19754722874654,54.346798,52.151722,53.993015,53.993015,0.16645733,0.16190575,54.336365,1,1,14,2,2,0,0
192609186,192608896,31.18562470176459,117.19754778281019,54.35272,52.15763,53.993015,53.993015,0.16623756,0.16156444,54.33345,1,1,14,2,2,0,0
193117921,193117626,31.18562471204402,117.19754812322508,54.3559,52.160816,53.993015,53.993015,0.16684225,0.16171394,54.338284,1,1,14,2,2,0,0
193616732,193616381,31.185624697618856,117.19754839142455,54.358418,52.163338,53.993015,53.993015,0.16656154,0.16130939,54.33761,1,1,14,2,2,0,0
194115441,194115137,31.185624536717636,117.19754845796068,54.364933,52.169857,53.993015,53.993015,0.16651443,0.16079977,54.3442,1,1,14,2,2,0,0
194614222,194613891,31.18562433396125,117.19754829658392,54.35155,52.15648,53.993015,53.993015,0.16629174,0.16014783,54.34165,1,1,14,2,2,0,0
195112939,195112646,31.185623694370648,117.19754784664951,54.26282,52.06774,53.993015,53.993015,0.16620605,0.15974629,54.282894,1,1,14,2,2,0,0
195611711,195611401,31.185623070277085,117.19754721110057,54.19592,52.000843,53.993015,53.993015,0.16609475,0.15905198,54.200912,1,1,14,2,2,0,0
196110444,196110156,31.185623470679424,117.19754662727841,54.15811,51.96304,53.993015,53.993015,0.16613692,0.1581427,54.15361,1,1,14,2,2,0,0
196609261,196608912,31.185624132305165,117.1975464930071,54.139378,51.94431,53.993015,53.993015,0.16613877,0.15715379,54.134186,1,1,14,2,2,0,0
197118047,197117642,31.185623920324616,117.19754577675036,54.121223,51.92616,53.993015,53.993015,0.16707931,0.15650757,54.124477,1,1,14,2,2,0,0
197616689,197616398,31.18562303428386,117.19754397155312,54.06388,51.868793,53.993015,53.993015,0.16698888,0.15545093,54.094826,1,1,14,2,2,0,0
198115466,198115153,31.185623691680412,117.19754288924919,54.04857,51.853485,53.993015,53.993015,0.16698644,0.1546173,54.055885,1,1,14,2,2,0,0
198614197,198613909,31.185624792620178,117.19754243835935,54.03523,51.84015,53.993015,53.993015,0.16698614,0.15418616,54.044437,1,1,14,2,2,0,0
199112954,199112664,31.185625161563173,117.19754252782062,54.030243,51.835167,53.993015,53.993015,0.16709816,0.15390818,54.045696,1,1,14,2,2,0,0
